<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.05.09	20:15:00	2034.31	2036.49	2034.17	2035.35	2082	0	5
2023.05.09	20:30:00	2035.30	2037.58	2035.17	2036.88	1411	0	5
2023.05.09	20:45:00	2036.85	2037.10	2034.81	2035.50	1176	0	5
2023.05.09	21:00:00	2035.50	2036.18	2035.05	2035.58	1055	0	5
2023.05.09	21:15:00	2035.56	2036.47	2035.48	2036.17	899	0	6
2023.05.09	21:30:00	2036.20	2036.97	2036.08	2036.28	815	0	9
2023.05.09	21:45:00	2036.23	2036.83	2034.90	2035.24	1006	0	6
2023.05.09	22:00:00	2035.25	2035.65	2034.09	2034.57	842	0	10
2023.05.09	22:15:00	2034.57	2034.99	2034.13	2034.24	638	0	12
2023.05.09	22:30:00	2034.20	2034.73	2034.20	2034.48	615	0	12
2023.05.09	22:45:00	2034.57	2034.88	2034.07	2034.21	825	0	5
2023.05.09	23:00:00	2034.29	2034.80	2034.07	2034.80	480	0	9
2023.05.09	23:15:00	2034.80	2034.98	2034.49	2034.69	313	0	13
2023.05.09	23:30:00	2034.75	2035.12	2034.41	2034.55	384	0	5
2023.05.09	23:45:00	2034.52	2034.76	2034.08	2034.38	320	0	15
2023.05.10	01:00:00	2033.86	2035.08	2033.77	2034.99	264	0	7
2023.05.10	01:15:00	2034.99	2035.66	2034.75	2035.66	192	0	13
2023.05.10	01:30:00	2035.64	2036.41	2035.55	2036.00	365	0	11
2023.05.10	01:45:00	2035.93	2036.37	2035.89	2035.93	273	0	20
2023.05.10	02:00:00	2035.94	2036.85	2035.94	2036.78	285	0	13
2023.05.10	02:15:00	2036.80	2037.16	2036.58	2036.89	233	0	13
2023.05.10	02:30:00	2036.92	2037.05	2036.60	2036.82	308	0	18
2023.05.10	02:45:00	2036.81	2036.86	2035.94	2036.25	401	0	10
2023.05.10	03:00:00	2036.25	2038.17	2036.23	2037.51	852	0	12
2023.05.10	03:15:00	2037.52	2037.52	2036.41	2036.52	627	0	10
2023.05.10	03:30:00	2036.52	2036.64	2034.96	2035.68	694	0	14
2023.05.10	03:45:00	2035.68	2036.65	2034.93	2036.45	681	0	9
2023.05.10	04:00:00	2036.45	2037.06	2035.51	2035.71	939	0	14
2023.05.10	04:15:00	2035.68	2035.68	2034.71	2034.94	653	0	16
2023.05.10	04:30:00	2034.94	2034.95	2033.48	2033.97	960	0	5
2023.05.10	04:45:00	2033.95	2034.64	2032.61	2032.77	962	0	10
2023.05.10	05:00:00	2032.67	2033.53	2031.62	2031.78	902	0	8
2023.05.10	05:15:00	2031.74	2032.51	2031.71	2032.09	556	0	14
2023.05.10	05:30:00	2032.09	2032.23	2031.08	2031.83	739	0	14
2023.05.10	05:45:00	2031.83	2032.05	2030.44	2031.24	702	0	8
2023.05.10	06:00:00	2031.23	2032.48	2031.12	2031.79	624	0	10
2023.05.10	06:15:00	2031.78	2032.12	2030.73	2030.75	567	0	12
2023.05.10	06:30:00	2030.75	2031.73	2030.75	2031.65	472	0	10
2023.05.10	06:45:00	2031.65	2031.80	2031.24	2031.69	369	0	7
2023.05.10	07:00:00	2031.69	2031.70	2030.98	2031.48	353	0	10
2023.05.10	07:15:00	2031.47	2031.58	2030.94	2031.28	384	0	20
2023.05.10	07:30:00	2031.25	2031.53	2030.64	2030.75	505	0	5
2023.05.10	07:45:00	2030.75	2030.80	2029.73	2030.71	542	0	7
2023.05.10	08:00:00	2030.73	2031.48	2030.17	2030.65	485	0	10
2023.05.10	08:15:00	2030.64	2030.64	2029.57	2029.73	527	0	14
2023.05.10	08:30:00	2029.73	2030.25	2027.71	2028.03	1053	0	12
2023.05.10	08:45:00	2028.00	2029.31	2027.88	2029.02	878	0	11
2023.05.10	09:00:00	2029.02	2030.06	2028.70	2029.56	854	0	6
2023.05.10	09:15:00	2029.48	2029.61	2027.38	2028.26	825	0	5
2023.05.10	09:30:00	2028.27	2031.08	2027.76	2030.81	997	0	5
2023.05.10	09:45:00	2030.81	2032.95	2030.77	2031.99	1072	0	6
2023.05.10	10:00:00	2031.87	2032.00	2028.88	2028.91	1408	0	6
2023.05.10	10:15:00	2029.01	2029.94	2028.16	2028.86	1116	0	11
2023.05.10	10:30:00	2028.86	2030.40	2028.75	2030.13	1004	0	9
2023.05.10	10:45:00	2030.17	2032.01	2029.65	2031.66	1139	0	7
2023.05.10	11:00:00	2031.64	2031.80	2029.82	2030.01	1082	0	5
2023.05.10	11:15:00	2030.00	2030.31	2028.08	2028.19	1223	0	12
2023.05.10	11:30:00	2028.19	2028.62	2026.24	2027.20	1262	0	6
2023.05.10	11:45:00	2027.16	2029.09	2026.89	2028.44	858	0	5
2023.05.10	12:00:00	2028.41	2029.59	2028.09	2028.90	927	0	11
2023.05.10	12:15:00	2028.95	2029.76	2028.84	2029.67	770	0	10
2023.05.10	12:30:00	2029.66	2029.72	2028.29	2029.31	751	0	9
2023.05.10	12:45:00	2029.29	2030.06	2028.93	2029.00	707	0	8
2023.05.10	13:00:00	2029.00	2030.82	2029.00	2030.49	674	0	6
2023.05.10	13:15:00	2030.49	2031.64	2030.25	2031.43	686	0	5
2023.05.10	13:30:00	2031.41	2032.08	2030.90	2031.78	734	0	6
2023.05.10	13:45:00	2031.76	2032.01	2031.23	2031.25	790	0	8
2023.05.10	14:00:00	2031.24	2031.58	2029.30	2031.11	1122	0	6
2023.05.10	14:15:00	2031.11	2031.73	2030.70	2031.50	730	0	5
